         17111240 function calls (16072779 primitive calls) in 8.470 seconds

   Ordered by: cumulative time
   List reduced from 433 to 55 due to restriction <55>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    8.576    8.576 colocated.py:75(_worker)
        1    0.020    0.020    8.522    8.522 service.py:2967(execute_dual_clock_run)
    105/5    0.048    0.000    8.006    1.601 strategy_worker_profile.py:30(timed)
        1    0.273    0.273    4.574    4.574 dual_clock_kernel.py:143(run)
        1    0.000    0.000    2.825    2.825 service.py:4430(_build_cost_sensitivity)
        1    0.003    0.003    2.807    2.807 cost_sensitivity.py:19(build_cost_sensitivity_matrix)
        1    0.318    0.318    2.803    2.803 cost_sensitivity.py:344(_run_dual_scenarios)
   100000    0.024    0.000    2.265    0.000 service.py:3133(checkpoint_after)
      102    0.004    0.000    2.252    0.022 service.py:4509(_save_dual_clock_checkpoint)
    60038    0.026    0.000    1.302    0.000 dataclasses.py:1308(asdict)
   500000    0.546    0.000    1.257    0.000 trade_kernel.py:772(_match)
794631/60038    0.515    0.000    1.255    0.000 dataclasses.py:1332(_asdict_inner)
      102    0.001    0.000    1.252    0.012 dual_clock_kernel.py:89(snapshot)
      816    0.029    0.000    1.240    0.002 checkpoint_history.py:29(__call__)
      102    0.009    0.000    1.170    0.011 trade_kernel.py:184(snapshot)
   300000    0.670    0.000    1.110    0.000 trade_bar_builder.py:49(push)
    31072    0.034    0.000    0.970    0.000 __init__.py:183(dumps)
    31072    0.021    0.000    0.929    0.000 encoder.py:183(encode)
   103659    0.036    0.000    0.919    0.000 checkpoint_history.py:97(encode)
    18323    0.898    0.000    0.898    0.000 encoder.py:205(iterencode)
457781/185950    0.395    0.000    0.693    0.000 copy.py:118(deepcopy)
     5414    0.003    0.000    0.690    0.000 identity.py:10(canonical_json)
     9999    0.037    0.000    0.670    0.000 service.py:3091(strategy)
        2    0.277    0.139    0.637    0.318 trades.py:17(assert_trade_stream)
      154    0.002    0.000    0.610    0.004 repository.py:18(wrapped)
        1    0.000    0.000    0.565    0.565 service.py:4743(_persist_completed_run)
      102    0.020    0.000    0.530    0.005 repository.py:568(save_checkpoint)
        5    0.012    0.002    0.479    0.096 trade_kernel.py:563(_financial_result)
   531093    0.275    0.000    0.457    0.000 trade_kernel.py:105(_working_orders)
        1    0.002    0.002    0.453    0.453 reports.py:49(build_report)
  3093569    0.375    0.000    0.375    0.000 {method 'get' of 'dict' objects}
15451/4440    0.060    0.000    0.372    0.000 copy.py:217(_deepcopy_dict)
        1    0.031    0.031    0.365    0.365 trade_bar_builder.py:153(derive_complete_trade_bars)
     9999    0.031    0.000    0.349    0.000 host_adapter.py:53(observe)
      204    0.005    0.000    0.324    0.002 checkpoint_codec.py:27(_object_json)
18547/17629    0.008    0.000    0.321    0.000 {method 'join' of 'str' objects}
      102    0.000    0.000    0.319    0.003 checkpoint_codec.py:34(checkpoint_json)
     2040    0.007    0.000    0.314    0.000 checkpoint_codec.py:28(<genexpr>)
      107    0.306    0.003    0.306    0.003 {method 'commit' of 'sqlite3.Connection' objects}
   399996    0.210    0.000    0.295    0.000 trades.py:8(trade_sort_key)
    14543    0.019    0.000    0.284    0.000 colocated.py:59(invoke)
    13314    0.091    0.000    0.276    0.000 trade_kernel.py:848(_fill)
    18875    0.023    0.000    0.268    0.000 trade_kernel.py:623(_enqueue_many)
    13339    0.012    0.000    0.264    0.000 snapshot.py:13(sha256_hex)
    11095    0.093    0.000    0.240    0.000 trade_kernel.py:652(_enqueue)
    13339    0.004    0.000    0.227    0.000 snapshot.py:9(canonical_json)
      102    0.005    0.000    0.219    0.002 checkpoint_history.py:134(publish_chunks)
     9999    0.004    0.000    0.210    0.000 host_adapter.py:88(invoke)
     9994    0.007    0.000    0.206    0.000 protocol.py:143(step)
      310    0.001    0.000    0.205    0.001 __init__.py:299(loads)
      310    0.001    0.000    0.204    0.001 decoder.py:332(decode)
        7    0.006    0.001    0.202    0.029 copy.py:191(_deepcopy_list)
      310    0.201    0.001    0.201    0.001 decoder.py:343(raw_decode)
     4438    0.003    0.000    0.183    0.000 reports.py:61(copy_row)
     9999    0.077    0.000    0.174    0.000 service.py:5172(_planning_context)


